Cell No in Montage,X in Montage,Y in Montage,Label in FOV,X in FOV,Y in FOV
70,536.25,591.5,70,536.25,591.5
71,3923.66,207.35,71,3923.66,207.35
72,4251.59,167.51,72,4251.59,167.51
73,2947.35,3903.99,73,2947.35,3903.99
74,2072.71,1233.04,74,2072.71,1233.04
75,3002.74,1048.44,75,3002.74,1048.44
76,1456.2,512.24,76,1456.2,512.24
77,2664.46,888.98,77,2664.46,888.98
78,274.68,5217.48,78,274.68,5217.48
79,841.42,3157.55,79,841.42,3157.55
80,1849.72,3786.74,80,1849.72,3786.74
81,881.89,3255.39,81,881.89,3255.39
82,38.72,297.46,82,38.72,297.46
83,1486.43,281.13,83,1486.43,281.13
84,4711.35,44.67,84,4711.35,44.67
85,1468.99,4758.12,85,1468.99,4758.12
86,4454.05,4078.5,86,4454.05,4078.5
87,2381.55,2258.68,87,2381.55,2258.68
88,3862.32,561.77,88,3862.32,561.77
89,777.45,2489.98,89,777.45,2489.98
90,2089.8,2584.56,90,2089.8,2584.56
91,4141.4,333.42,91,4141.4,333.42
92,3285.44,1873.5,92,3285.44,1873.5
93,2750,2248.27,93,2750,2248.27
94,2066.63,5383.23,94,2066.63,5383.23
95,4544.94,140.62,95,4544.94,140.62
96,1513.71,2421.14,96,1513.71,2421.14
97,326.58,4464.26,97,326.58,4464.26
98,622.75,23.81,98,622.75,23.81
99,1852.4,391.12,99,1852.4,391.12
100,3340.23,2459.03,100,3340.23,2459.03
101,662.14,3297.29,101,662.14,3297.29
102,5223.08,977.24,102,5223.08,977.24
103,91.83,4075.63,103,91.83,4075.63
104,4811.35,2796.56,104,4811.35,2796.56
105,4452.19,3294.45,105,4452.19,3294.45
106,1712.32,2138.54,106,1712.32,2138.54
107,643.96,2907.32,107,643.96,2907.32
108,3019.89,4399.06,108,3019.89,4399.06
109,1184.72,2703.24,109,1184.72,2703.24
110,4356.49,460.36,110,4356.49,460.36
111,4905.84,4456.21,111,4905.84,4456.21
112,1419.56,4189.01,112,1419.56,4189.01
113,1650.04,900.76,113,1650.04,900.76
114,5431.69,784.67,114,5431.69,784.67
115,5108.46,4701.25,115,5108.46,4701.25
116,271.97,2518.88,116,271.97,2518.88
117,5336.79,5010.34,117,5336.79,5010.34
118,3006.37,2423.31,118,3006.37,2423.31
119,328.16,551.9,119,328.16,551.9
120,1841.72,2834.65,120,1841.72,2834.65
121,1826.83,982.12,121,1826.83,982.12
122,2575.9,354.85,122,2575.9,354.85
123,869.92,4609.11,123,869.92,4609.11
124,3211.99,4217.47,124,3211.99,4217.47
125,3715.68,3724.59,125,3715.68,3724.59
126,2467.51,1209.7,126,2467.51,1209.7
127,4767.7,722.81,127,4767.7,722.81
128,3475.02,4949.29,128,3475.02,4949.29
129,2830.84,2813.14,129,2830.84,2813.14
130,1450.28,4342.28,130,1450.28,4342.28
131,1307.21,598.77,131,1307.21,598.77
132,2423.46,5394.21,132,2423.46,5394.21
133,1221.78,5096.9,133,1221.78,5096.9
134,4086.4,47.76,134,4086.4,47.76
135,1593.91,57.89,135,1593.91,57.89
136,295.04,4278.09,136,295.04,4278.09
137,2272.5,343.45,137,2272.5,343.45
138,1838.14,2027.58,138,1838.14,2027.58
139,5273.41,2347.55,139,5273.41,2347.55
140,313.39,1850.82,140,313.39,1850.82
141,2830.03,884.49,141,2830.03,884.49
142,1226.07,4530.04,142,1226.07,4530.04
143,4423.19,2899.42,143,4423.19,2899.42
144,2329.49,4273.59,144,2329.49,4273.59
145,3598.93,798.5,145,3598.93,798.5
146,4874.79,4815.05,146,4874.79,4815.05
147,4475.31,4758.45,147,4475.31,4758.45
148,4013.55,4541.11,148,4013.55,4541.11
149,2078.89,1788.09,149,2078.89,1788.09
150,5355.27,5178.01,150,5355.27,5178.01
151,1037.54,3050.33,151,1037.54,3050.33
152,2463.53,2830.18,152,2463.53,2830.18
153,3580.25,4302.22,153,3580.25,4302.22
154,343.57,1973.31,154,343.57,1973.31
155,4070.48,3556.8,155,4070.48,3556.8
156,3798.5,2732.49,156,3798.5,2732.49
157,4212.18,1359.95,157,4212.18,1359.95
158,3532.09,5200.15,158,3532.09,5200.15
159,3180.66,4086.49,159,3180.66,4086.49
160,2603.28,1650.53,160,2603.28,1650.53
161,2938.4,3727.39,161,2938.4,3727.39
162,2028.5,2423.55,162,2028.5,2423.55
163,595.4,899.06,163,595.4,899.06
164,2042.82,2167.87,164,2042.82,2167.87
165,3396.38,216.27,165,3396.38,216.27
166,4155.98,869.24,166,4155.98,869.24
167,3517.81,3392.04,167,3517.81,3392.04
168,2098.92,1375.16,168,2098.92,1375.16
169,2535.05,3759.31,169,2535.05,3759.31
170,2193.32,5345.18,170,2193.32,5345.18
171,2021.8,2900.75,171,2021.8,2900.75
172,1604.39,3986.91,172,1604.39,3986.91
173,1861.08,3433.97,173,1861.08,3433.97
174,2699.17,2630.17,174,2699.17,2630.17
175,3061.37,4082.29,175,3061.37,4082.29
176,2539.72,44.95,176,2539.72,44.95
177,5159.18,2706.23,177,5159.18,2706.23
178,3193.49,5402.33,178,3193.49,5402.33
179,2294.02,5232.27,179,2294.02,5232.27
180,5258.67,1754.08,180,5258.67,1754.08
181,4233.05,3116.58,181,4233.05,3116.58
182,2496.34,4488.95,182,2496.34,4488.95
183,1681.78,471.19,183,1681.78,471.19
184,2967.82,1563.91,184,2967.82,1563.91
185,837.51,4529.92,185,837.51,4529.92
186,3266.53,3173.37,186,3266.53,3173.37
187,3495.41,4492.35,187,3495.41,4492.35
188,4569.57,844.94,188,4569.57,844.94
189,2475.47,3259.67,189,2475.47,3259.67
190,4764.37,1444.83,190,4764.37,1444.83
191,4803.14,600.75,191,4803.14,600.75
192,5315.52,3087.31,192,5315.52,3087.31
193,2748.4,1561.2,193,2748.4,1561.2
194,2902.12,1206.75,194,2902.12,1206.75
195,1530.2,3095.76,195,1530.2,3095.76
196,3619.68,2280.82,196,3619.68,2280.82
197,4163.44,4725.93,197,4163.44,4725.93
198,1140.07,2075.89,198,1140.07,2075.89
199,3774.58,2239.03,199,3774.58,2239.03
200,4379.02,3550.17,200,4379.02,3550.17
201,2279.22,1578.92,201,2279.22,1578.92
202,5420.52,2771.2,202,5420.52,2771.2
203,2210.85,638.73,203,2210.85,638.73
204,848.72,2630.33,204,848.72,2630.33
205,3889.55,5099.39,205,3889.55,5099.39
206,4147.24,1225.28,206,4147.24,1225.28
207,3707.84,672.16,207,3707.84,672.16
208,3121.68,892.95,208,3121.68,892.95
209,3409.05,2576.34,209,3409.05,2576.34
210,4506.49,4920.82,210,4506.49,4920.82
211,278.72,1434.03,211,278.72,1434.03
212,2744.49,1712.52,212,2744.49,1712.52
213,3391.76,2085.12,213,3391.76,2085.12
214,639.43,365.84,214,639.43,365.84
215,2522.48,5329.58,215,2522.48,5329.58
216,4995.66,4927.26,216,4995.66,4927.26
217,23.52,5434.43,217,23.52,5434.43
218,4286.54,344.37,218,4286.54,344.37
219,1577.28,4726.57,219,1577.28,4726.57
220,3061.1,385.33,220,3061.1,385.33
221,4511.72,2403.23,221,4511.72,2403.23
222,604.51,127.93,222,604.51,127.93
223,3818.57,5171.65,223,3818.57,5171.65
224,5378.29,2066.45,224,5378.29,2066.45
225,685.78,3460.02,225,685.78,3460.02
226,5173.88,2304,226,5173.88,2304
227,1410.96,3183.11,227,1410.96,3183.11
228,4781.99,494.05,228,4781.99,494.05
229,2529.57,507.59,229,2529.57,507.59
230,2271.01,4698.21,230,2271.01,4698.21
231,209.58,764.03,231,209.58,764.03
232,3973.31,3755.61,232,3973.31,3755.61
233,449.72,4486.55,233,449.72,4486.55
234,4929.2,514.18,234,4929.2,514.18
235,5434.58,4856.45,235,5434.58,4856.45
236,202.66,2790.35,236,202.66,2790.35
237,2681.01,3945.56,237,2681.01,3945.56
238,1530.81,622.47,238,1530.81,622.47
239,5288.38,3988.56,239,5288.38,3988.56
240,1960,3529.18,240,1960,3529.18
241,1657.33,526.17,241,1657.33,526.17
242,1768.07,5412.22,242,1768.07,5412.22
243,2616.09,2048.47,243,2616.09,2048.47
244,4683.69,1023.6,244,4683.69,1023.6
245,2308.94,4807.61,245,2308.94,4807.61
246,1166.95,1304.66,246,1166.95,1304.66
247,3869.7,2036.25,247,3869.7,2036.25
248,4793.02,2296,248,4793.02,2296
249,5086.74,308.88,249,5086.74,308.88
250,3711.14,2864.38,250,3711.14,2864.38
251,3513.65,1766.36,251,3513.65,1766.36
252,3578.13,2052.69,252,3578.13,2052.69
253,2056.98,4444.65,253,2056.98,4444.65
254,1433.88,2144.06,254,1433.88,2144.06
255,857.13,1624.59,255,857.13,1624.59
256,4133.73,1884.36,256,4133.73,1884.36
257,1871.03,4227.67,257,1871.03,4227.67
258,3887.12,1910.8,258,3887.12,1910.8
259,1167.68,5281.16,259,1167.68,5281.16
260,3872.36,4721.49,260,3872.36,4721.49
261,1651.84,1486.9,261,1651.84,1486.9
262,131.74,5251.21,262,131.74,5251.21
263,3340.03,970.95,263,3340.03,970.95
264,3606.01,46.45,264,3606.01,46.45
265,3695.53,2524.47,265,3695.53,2524.47
266,2639.65,638.71,266,2639.65,638.71
267,3695.23,1112.89,267,3695.23,1112.89
268,3216.12,294.85,268,3216.12,294.85
269,491.64,288.01,269,491.64,288.01
270,2557.25,956.71,270,2557.25,956.71
271,4860.7,1608.75,271,4860.7,1608.75
272,3757.98,90.86,272,3757.98,90.86
273,5350.77,2428.12,273,5350.77,2428.12
274,2084.97,4501.76,274,2084.97,4501.76
275,4914.76,4069.65,275,4914.76,4069.65
276,4604.76,1863.06,276,4604.76,1863.06
277,1071.31,2169.92,277,1071.31,2169.92
278,1805.18,1331.5,278,1805.18,1331.5
279,3902.73,4964.15,279,3902.73,4964.15
280,308.15,1166.3,280,308.15,1166.3
281,143.12,5359.79,281,143.12,5359.79
282,2887.63,2607.58,282,2887.63,2607.58
283,220.52,4295.75,283,220.52,4295.75
284,404.44,1772.43,284,404.44,1772.43
285,3319.98,1668.15,285,3319.98,1668.15
286,4909.92,1959.56,286,4909.92,1959.56
287,5023.03,1941,287,5023.03,1941
288,3380.02,1310.54,288,3380.02,1310.54
289,3307.88,821.45,289,3307.88,821.45
290,5283.27,5429.57,290,5283.27,5429.57
291,5090.91,1532.61,291,5090.91,1532.61
292,2101.28,4568.72,292,2101.28,4568.72
293,2810.73,3590.8,293,2810.73,3590.8
294,3267.84,2820.3,294,3267.84,2820.3
295,997.53,973.38,295,997.53,973.38
296,2741.06,4205.94,296,2741.06,4205.94
297,2319.61,2840.83,297,2319.61,2840.83
298,3205.64,58.35,298,3205.64,58.35
299,3739.61,1592,299,3739.61,1592
300,225.85,595.62,300,225.85,595.62
301,5245.91,653.32,301,5245.91,653.32
302,4545.96,400.22,302,4545.96,400.22
303,4294.53,2338.5,303,4294.53,2338.5
304,3518.99,5375.97,304,3518.99,5375.97
305,3255.09,2136.97,305,3255.09,2136.97
306,3349.44,2684.78,306,3349.44,2684.78
307,4005.3,1187.94,307,4005.3,1187.94
308,1486.14,5136.52,308,1486.14,5136.52
309,41.61,1929.58,309,41.61,1929.58
310,1230.97,1122.18,310,1230.97,1122.18
311,5344.92,4433.53,311,5344.92,4433.53
312,4729.16,1277.36,312,4729.16,1277.36
313,2485.11,3964.91,313,2485.11,3964.91
314,3933.12,4800.06,314,3933.12,4800.06
315,2436.23,4702.39,315,2436.23,4702.39
316,4707.69,1372.12,316,4707.69,1372.12
317,2690.33,5331.45,317,2690.33,5331.45
318,2432.08,110.52,318,2432.08,110.52
319,535.28,4420.87,319,535.28,4420.87
320,2497.64,3855.64,320,2497.64,3855.64
321,2649.38,2502.53,321,2649.38,2502.53
322,246.1,248.83,322,246.1,248.83
323,1011,5081.53,323,1011,5081.53
324,2773.25,2903.65,324,2773.25,2903.65
325,4632.29,1141.96,325,4632.29,1141.96
326,2190.95,4169.15,326,2190.95,4169.15
327,2216.31,1297.03,327,2216.31,1297.03
328,5326.41,4675.38,328,5326.41,4675.38
329,5125.2,2166.21,329,5125.2,2166.21
330,2844.12,2448.49,330,2844.12,2448.49
331,734.11,3934.64,331,734.11,3934.64
332,2649.97,2725.32,332,2649.97,2725.32
333,823.62,703.01,333,823.62,703.01
334,2809,4796.18,334,2809,4796.18
335,4805.9,2117.25,335,4805.9,2117.25
336,4719.53,844.32,336,4719.53,844.32
337,1139.54,156.95,337,1139.54,156.95
338,3833.91,858.45,338,3833.91,858.45
339,3713.55,4720,339,3713.55,4720
340,5221.65,3179.7,340,5221.65,3179.7
341,3592.92,3062.3,341,3592.92,3062.3
342,3609.5,4194.98,342,3609.5,4194.98
343,4072.69,2065.34,343,4072.69,2065.34
344,3676.58,4252.5,344,3676.58,4252.5
345,2908.72,1427.47,345,2908.72,1427.47
346,2559.51,1593.51,346,2559.51,1593.51
347,2817.39,4975.64,347,2817.39,4975.64
348,4235.94,3387.77,348,4235.94,3387.77
349,3627.77,1957.54,349,3627.77,1957.54
350,4248.2,3281.56,350,4248.2,3281.56
351,2026.98,1592.06,351,2026.98,1592.06
352,2179.28,1703.34,352,2179.28,1703.34
353,2720.63,381.46,353,2720.63,381.46
354,5438.58,3364.72,354,5438.58,3364.72
355,4979.63,3597.89,355,4979.63,3597.89
356,263.72,719.31,356,263.72,719.31
357,4441.91,263.83,357,4441.91,263.83
358,5449.55,1564.78,358,5449.55,1564.78
359,4936.51,3262.05,359,4936.51,3262.05
360,4756.02,293.18,360,4756.02,293.18
361,1426.97,3881.01,361,1426.97,3881.01
362,2781.4,1307.78,362,2781.4,1307.78
363,3664.41,3483.12,363,3664.41,3483.12
364,2634.99,1331.69,364,2634.99,1331.69
365,1145.09,4664.24,365,1145.09,4664.24
366,4269.71,1803.87,366,4269.71,1803.87
367,2546.18,5161.37,367,2546.18,5161.37
368,4843.41,2646.07,368,4843.41,2646.07
369,5075.17,1307.96,369,5075.17,1307.96
370,2669.75,3300.37,370,2669.75,3300.37
371,3601.88,3689.19,371,3601.88,3689.19
372,5222.76,800.42,372,5222.76,800.42
373,3046.96,3367.38,373,3046.96,3367.38
374,630.12,1125.09,374,630.12,1125.09
375,2936.67,150,375,2936.67,150
376,4824.16,1013.56,376,4824.16,1013.56
377,928.75,836.11,377,928.75,836.11
378,313.08,2685.38,378,313.08,2685.38
379,1940.66,3446.9,379,1940.66,3446.9
380,9.85,3375.5,380,9.85,3375.5
381,199.84,2118.81,381,199.84,2118.81
382,3645.41,2381.32,382,3645.41,2381.32
383,3514.88,1891.15,383,3514.88,1891.15
384,3149.08,1131.97,384,3149.08,1131.97
385,4215.06,4616.85,385,4215.06,4616.85
386,5418.78,1029.84,386,5418.78,1029.84
387,935.2,3798.49,387,935.2,3798.49
388,4462.38,1909.19,388,4462.38,1909.19
389,4091.63,1099.14,389,4091.63,1099.14
390,3009.99,4498.8,390,3009.99,4498.8
391,5238.76,1260.48,391,5238.76,1260.48
392,472.67,1308.11,392,472.67,1308.11
393,407.93,365.66,393,407.93,365.66
394,5444.52,3266.6,394,5444.52,3266.6
395,2885.86,4526.45,395,2885.86,4526.45
396,3189.89,5295.19,396,3189.89,5295.19
397,4189.96,27.79,397,4189.96,27.79
398,5230.6,1409.62,398,5230.6,1409.62
399,3240.22,3444.63,399,3240.22,3444.63
400,3795.99,244.05,400,3795.99,244.05
401,1061.29,1685.83,401,1061.29,1685.83
402,3585.56,1868.9,402,3585.56,1868.9
403,5371.8,5295.84,403,5371.8,5295.84
404,3533.97,1587.09,404,3533.97,1587.09
405,2971.07,492.62,405,2971.07,492.62
406,2449.55,202.72,406,2449.55,202.72
407,3986.14,4346.9,407,3986.14,4346.9
408,4168.49,4656.69,408,4168.49,4656.69
409,2558.79,676.58,409,2558.79,676.58
410,3559.32,3523.88,410,3559.32,3523.88
411,2588.62,4671.65,411,2588.62,4671.65
412,4097.35,3231.18,412,4097.35,3231.18
413,1906.58,3606.39,413,1906.58,3606.39
414,4083.75,2589.76,414,4083.75,2589.76
415,3455.78,1566.68,415,3455.78,1566.68
416,5409.93,1301.6,416,5409.93,1301.6
417,2738.25,4104.99,417,2738.25,4104.99
418,4785.21,5211.49,418,4785.21,5211.49
419,4078.66,5180.2,419,4078.66,5180.2
420,4151.22,2208.63,420,4151.22,2208.63
421,577.13,254.44,421,577.13,254.44
422,2615.35,3118.65,422,2615.35,3118.65
423,4234.03,913.96,423,4234.03,913.96
424,4251.5,4391.51,424,4251.5,4391.51
425,3938.75,3236.61,425,3938.75,3236.61
426,522.17,1614.66,426,522.17,1614.66
427,4300.31,2777.06,427,4300.31,2777.06
428,4832.93,2573.53,428,4832.93,2573.53
429,1968.25,4590.67,429,1968.25,4590.67
430,654.81,2399.79,430,654.81,2399.79
431,5228.5,4943.16,431,5228.5,4943.16
432,613.96,3396.9,432,613.96,3396.9
433,3201.52,2290.32,433,3201.52,2290.32
434,2482.4,4594.4,434,2482.4,4594.4
435,4631.14,2182.92,435,4631.14,2182.92
436,2984.34,3030.79,436,2984.34,3030.79
437,5139.72,488.89,437,5139.72,488.89
438,3341.11,64.84,438,3341.11,64.84
439,3410.13,5084.59,439,3410.13,5084.59
440,5258.21,4087.7,440,5258.21,4087.7
441,4944,4353.71,441,4944,4353.71
442,3926.68,1342.81,442,3926.68,1342.81
443,2632.68,202.17,443,2632.68,202.17
444,4605.32,5345.32,444,4605.32,5345.32
445,2468.96,420.26,445,2468.96,420.26
446,3311.95,3535.95,446,3311.95,3535.95
447,1709.77,2035.46,447,1709.77,2035.46
448,4071.43,4630.75,448,4071.43,4630.75
449,1209.95,4799.68,449,1209.95,4799.68
450,4960.2,4590.36,450,4960.2,4590.36
451,1161.31,942.34,451,1161.31,942.34
452,3956.71,778.24,452,3956.71,778.24
453,3966.69,3409.92,453,3966.69,3409.92
454,842.22,823.81,454,842.22,823.81
455,173.47,3473.87,455,173.47,3473.87
456,4941.94,2203.75,456,4941.94,2203.75
457,3507.64,2319.72,457,3507.64,2319.72
458,4697.49,2634.58,458,4697.49,2634.58
459,201.38,1357.88,459,201.38,1357.88
460,3919.24,3122.68,460,3919.24,3122.68
461,2545.02,2871.5,461,2545.02,2871.5
462,4347.42,2409.19,462,4347.42,2409.19
463,167.77,2673.37,463,167.77,2673.37
464,3513.92,2577,464,3513.92,2577
465,4655.73,3370.59,465,4655.73,3370.59
466,2765.96,1039.75,466,2765.96,1039.75
467,3352.36,3842.1,467,3352.36,3842.1
468,1664.41,4681.67,468,1664.41,4681.67
469,1933,1592.52,469,1933,1592.52
470,5007.32,5033.99,470,5007.32,5033.99
471,1128.61,4716.82,471,1128.61,4716.82
472,3647.06,4900.87,472,3647.06,4900.87
473,315.63,1098.29,473,315.63,1098.29
474,3795.38,1510.52,474,3795.38,1510.52
475,5434.3,5420.99,475,5434.3,5420.99
476,4984.86,2620.58,476,4984.86,2620.58
477,1673.59,397.45,477,1673.59,397.45
478,3100.58,3137.9,478,3100.58,3137.9
479,3054.11,3299.45,479,3054.11,3299.45
480,4125.6,3966.41,480,4125.6,3966.41
481,5045.82,2171.26,481,5045.82,2171.26
482,3730.38,2024.45,482,3730.38,2024.45
483,3639.42,3911.9,483,3639.42,3911.9
484,4116.29,3733.88,484,4116.29,3733.88
485,3590.48,4975.36,485,3590.48,4975.36
486,3919.08,4412.22,486,3919.08,4412.22
487,2474.59,1139,487,2474.59,1139
488,3750.2,5443.05,488,3750.2,5443.05
489,775.28,1625.58,489,775.28,1625.58
490,3676.6,522.92,490,3676.6,522.92
491,3007.69,3778.6,491,3007.69,3778.6
492,757.42,437.83,492,757.42,437.83
493,5121.06,439.58,493,5121.06,439.58
494,5265.98,1133.1,494,5265.98,1133.1
495,2786.62,3708.59,495,2786.62,3708.59
496,1449.61,98.64,496,1449.61,98.64
497,1459.28,3823.71,497,1459.28,3823.71
498,4453.28,2008.05,498,4453.28,2008.05
499,1027.68,363.84,499,1027.68,363.84
500,1816.1,2632.62,500,1816.1,2632.62
501,5189.14,1571.21,501,5189.14,1571.21
502,18.57,4927.71,502,18.57,4927.71
503,3079.85,816.22,503,3079.85,816.22
504,58.58,2636.75,504,58.58,2636.75
505,3458.41,1087.46,505,3458.41,1087.46
506,4827.59,2494.07,506,4827.59,2494.07
507,4793.64,3945.53,507,4793.64,3945.53
508,2682.21,288.51,508,2682.21,288.51
509,4586.37,5285.91,509,4586.37,5285.91
510,3874.34,3637.04,510,3874.34,3637.04
511,1159.05,1029.9,511,1159.05,1029.9
512,4421.89,2356.16,512,4421.89,2356.16
513,4957.3,2723.19,513,4957.3,2723.19
514,4593.94,2017.73,514,4593.94,2017.73
515,2653.62,1393.93,515,2653.62,1393.93
516,12.32,5160.44,516,12.32,5160.44
517,3300.43,3658.32,517,3300.43,3658.32
518,3266.74,3818.57,518,3266.74,3818.57
519,3597.4,199.35,519,3597.4,199.35
520,4960.51,4297.15,520,4960.51,4297.15
521,4684.44,3378.79,521,4684.44,3378.79
522,2461.7,4810.08,522,2461.7,4810.08
523,2979.02,194.46,523,2979.02,194.46
524,3027.37,2833.36,524,3027.37,2833.36
525,3376.66,3533.39,525,3376.66,3533.39
526,4582.21,5214.35,526,4582.21,5214.35
527,5242.8,3841.8,527,5242.8,3841.8
528,2704.38,3109.94,528,2704.38,3109.94
529,4238.18,1857.4,529,4238.18,1857.4
530,696,2452,530,696,2452
531,3541.23,2438.34,531,3541.23,2438.34
532,4798.56,4950.25,532,4798.56,4950.25
533,3454.82,3050.31,533,3454.82,3050.31
534,274.55,1368.94,534,274.55,1368.94
535,3580.73,1646.29,535,3580.73,1646.29
536,757.12,1596.56,536,757.12,1596.56
537,4306.76,1848.98,537,4306.76,1848.98
538,3901.54,4886.82,538,3901.54,4886.82
539,3550.66,3609.48,539,3550.66,3609.48
540,371.7,1898.49,540,371.7,1898.49
541,2939.47,3472.38,541,2939.47,3472.38
542,2751.71,5354.24,542,2751.71,5354.24
